2025-08-16 12:47:15,146 - __main__ - INFO - Epoch: 67, Train Accuracy: 83.19, Valid Accuracy: 84.63, Test Accuracy: 84.66, Training Time: 262.34s, Valid Time: 13.38s, Testing Time: 14.56s
2025-08-16 12:52:05,545 - __main__ - INFO - Epoch: 68, Train Accuracy: 83.44, Valid Accuracy: 84.81, Test Accuracy: 85.50, Training Time: 262.44s, Valid Time: 13.39s, Testing Time: 14.57s
2025-08-16 12:56:55,692 - __main__ - INFO - Epoch: 69, Train Accuracy: 83.54, Valid Accuracy: 84.21, Test Accuracy: 84.99, Training Time: 262.16s, Valid Time: 13.43s, Testing Time: 14.55s
2025-08-16 13:01:45,663 - __main__ - INFO - Epoch: 70, Train Accuracy: 83.91, Valid Accuracy: 84.88, Test Accuracy: 85.40, Training Time: 262.03s, Valid Time: 13.38s, Testing Time: 14.55s
2025-08-16 13:06:35,895 - __main__ - INFO - Epoch: 71, Train Accuracy: 83.91, Valid Accuracy: 85.37, Test Accuracy: 85.56, Training Time: 262.26s, Valid Time: 13.39s, Testing Time: 14.57s
2025-08-16 13:11:25,666 - __main__ - INFO - Epoch: 72, Train Accuracy: 83.78, Valid Accuracy: 85.26, Test Accuracy: 85.44, Training Time: 261.85s, Valid Time: 13.38s, Testing Time: 14.54s
2025-08-16 13:16:15,668 - __main__ - INFO - Epoch: 73, Train Accuracy: 83.72, Valid Accuracy: 85.59, Test Accuracy: 85.52, Training Time: 262.06s, Valid Time: 13.38s, Testing Time: 14.56s
2025-08-16 13:21:05,554 - __main__ - INFO - Epoch: 74, Train Accuracy: 83.65, Valid Accuracy: 85.28, Test Accuracy: 85.73, Training Time: 261.99s, Valid Time: 13.36s, Testing Time: 14.53s
2025-08-16 13:25:55,589 - __main__ - INFO - Epoch: 75, Train Accuracy: 83.64, Valid Accuracy: 85.03, Test Accuracy: 85.24, Training Time: 262.11s, Valid Time: 13.37s, Testing Time: 14.55s
2025-08-16 13:30:45,709 - __main__ - INFO - Epoch: 76, Train Accuracy: 83.84, Valid Accuracy: 85.43, Test Accuracy: 85.95, Training Time: 262.17s, Valid Time: 13.38s, Testing Time: 14.56s
2025-08-16 13:35:35,387 - __main__ - INFO - Epoch: 77, Train Accuracy: 84.22, Valid Accuracy: 85.90, Test Accuracy: 86.16, Training Time: 261.78s, Valid Time: 13.36s, Testing Time: 14.53s
2025-08-16 13:40:25,090 - __main__ - INFO - Epoch: 78, Train Accuracy: 84.11, Valid Accuracy: 85.39, Test Accuracy: 85.48, Training Time: 261.80s, Valid Time: 13.37s, Testing Time: 14.53s
2025-08-16 13:45:14,937 - __main__ - INFO - Epoch: 79, Train Accuracy: 84.16, Valid Accuracy: 85.79, Test Accuracy: 85.75, Training Time: 261.89s, Valid Time: 13.37s, Testing Time: 14.58s
2025-08-16 13:50:04,527 - __main__ - INFO - Epoch: 80, Train Accuracy: 84.12, Valid Accuracy: 85.95, Test Accuracy: 85.91, Training Time: 261.70s, Valid Time: 13.35s, Testing Time: 14.53s
2025-08-16 13:54:54,215 - __main__ - INFO - Epoch: 81, Train Accuracy: 84.38, Valid Accuracy: 86.12, Test Accuracy: 86.28, Training Time: 261.79s, Valid Time: 13.37s, Testing Time: 14.53s
2025-08-16 13:59:44,129 - __main__ - INFO - Epoch: 82, Train Accuracy: 84.21, Valid Accuracy: 86.33, Test Accuracy: 86.02, Training Time: 262.01s, Valid Time: 13.36s, Testing Time: 14.54s
2025-08-16 14:05:29,275 - __main__ - INFO - Epoch: 83, Train Accuracy: 83.87, Valid Accuracy: 85.95, Test Accuracy: 85.83, Training Time: 261.91s, Valid Time: 13.36s, Testing Time: 14.53s
2025-08-16 14:10:18,891 - __main__ - INFO - Epoch: 84, Train Accuracy: 83.73, Valid Accuracy: 85.55, Test Accuracy: 85.20, Training Time: 261.73s, Valid Time: 13.35s, Testing Time: 14.52s
2025-08-16 14:15:08,845 - __main__ - INFO - Epoch: 85, Train Accuracy: 84.04, Valid Accuracy: 86.01, Test Accuracy: 86.06, Training Time: 262.05s, Valid Time: 13.36s, Testing Time: 14.54s
2025-08-16 14:19:58,776 - __main__ - INFO - Epoch: 86, Train Accuracy: 84.16, Valid Accuracy: 85.55, Test Accuracy: 85.85, Training Time: 262.02s, Valid Time: 13.37s, Testing Time: 14.54s
2025-08-16 14:24:48,697 - __main__ - INFO - Epoch: 87, Train Accuracy: 83.84, Valid Accuracy: 85.03, Test Accuracy: 85.40, Training Time: 262.02s, Valid Time: 13.37s, Testing Time: 14.53s
2025-08-16 14:29:38,465 - __main__ - INFO - Epoch: 88, Train Accuracy: 83.65, Valid Accuracy: 84.86, Test Accuracy: 85.36, Training Time: 261.86s, Valid Time: 13.37s, Testing Time: 14.54s
2025-08-16 14:34:28,170 - __main__ - INFO - Epoch: 89, Train Accuracy: 83.94, Valid Accuracy: 85.61, Test Accuracy: 86.20, Training Time: 261.77s, Valid Time: 13.41s, Testing Time: 14.53s
2025-08-16 14:39:18,145 - __main__ - INFO - Epoch: 90, Train Accuracy: 84.58, Valid Accuracy: 85.99, Test Accuracy: 86.55, Training Time: 262.06s, Valid Time: 13.37s, Testing Time: 14.54s
